GRMZM5G811749	Zm00001ca000001
GRMZM2G098750	Zm00001ca003414
GRMZM2G028594	Zm00001ca003415
GRMZM5G863550	Zm00001ca003416
GRMZM5G877388	Zm00001ca003417
GRMZM2G443985	Zm00001ca003418
GRMZM2G077643	Zm00001ca003419
GRMZM2G077696	Zm00001ca003420
AC201977.3_FG005	Zm00001ca003421
GRMZM2G455192	Zm00001ca003422
GRMZM2G403151	Zm00001ca003423
GRMZM2G403190	Zm00001ca003424
GRMZM2G103179	Zm00001ca003425
GRMZM2G005339	Zm00001ca003426
GRMZM2G005461	Zm00001ca003427
GRMZM2G005522	Zm00001ca003428
GRMZM2G485304	Zm00001ca003429
GRMZM2G104237	Zm00001ca003430
GRMZM2G104269	Zm00001ca003431
GRMZM2G156044	Zm00001ca003432
GRMZM2G351966	Zm00001ca003433
AC190913.3_FG002	Zm00001ca003434
GRMZM2G003289	Zm00001ca003435
GRMZM2G140051	Zm00001ca003436
GRMZM2G056365	Zm00001ca003437
GRMZM2G035665	Zm00001ca003438
GRMZM2G035732	Zm00001ca003439
GRMZM2G061277	Zm00001ca003440
GRMZM2G400470	Zm00001ca003441
GRMZM2G475952	Zm00001ca003442
GRMZM2G094510	Zm00001ca003443
GRMZM2G443962	Zm00001ca003444
GRMZM2G076972	Zm00001ca003445
GRMZM2G077040	Zm00001ca003446
GRMZM2G050971	Zm00001ca003447
AC193630.3_FG004	Zm00001ca003448
GRMZM2G051059	Zm00001ca003449
AC193630.3_FG003	Zm00001ca003450
GRMZM2G370283	Zm00001ca003451
GRMZM2G073982	Zm00001ca003452
GRMZM2G323418	Zm00001ca003453
GRMZM2G323413	Zm00001ca003454
GRMZM2G028928	Zm00001ca003455
GRMZM2G106683	Zm00001ca003456
GRMZM2G444801	Zm00001ca003457
GRMZM2G000645	Zm00001ca003458
GRMZM2G146490	Zm00001ca003459
GRMZM2G173693	Zm00001ca003460
GRMZM2G173628	Zm00001ca003461
GRMZM2G173641	Zm00001ca003462
GRMZM2G173579	Zm00001ca003463
GRMZM2G173615	Zm00001ca003464
GRMZM5G829544	Zm00001ca003465
GRMZM2G391473	Zm00001ca003466
GRMZM5G899300	Zm00001ca003467
GRMZM2G147399	Zm00001ca003468
GRMZM2G131421	Zm00001ca003469
GRMZM2G404897	Zm00001ca003470
GRMZM2G404965	Zm00001ca003471
GRMZM2G404977	Zm00001ca003472
GRMZM2G134260	Zm00001ca003473
GRMZM2G433433	Zm00001ca003474
GRMZM2G544469	Zm00001ca003475
GRMZM2G106276	Zm00001ca003476
GRMZM2G405655	Zm00001ca003477
GRMZM2G377199	Zm00001ca003478
GRMZM2G374881	Zm00001ca003479
GRMZM2G545891	Zm00001ca003480
GRMZM5G839794	Zm00001ca003481
AC214503.3_FG008	Zm00001ca003482
AC214503.3_FG004	Zm00001ca003483
AC214503.3_FG003	Zm00001ca003484
GRMZM2G061401	Zm00001ca003485
GRMZM2G018849	Zm00001ca003486
GRMZM2G301546	Zm00001ca003487
GRMZM2G114098	Zm00001ca003488
GRMZM2G376918	Zm00001ca003489
GRMZM2G115156	Zm00001ca003490
GRMZM2G115124	Zm00001ca003491
GRMZM2G144440	Zm00001ca003492
GRMZM2G144421	Zm00001ca003493
GRMZM2G447455	Zm00001ca003494
AC193668.3_FG009	Zm00001ca003495
GRMZM2G072274	Zm00001ca003496
GRMZM2G449056	Zm00001ca003497
GRMZM2G148106	Zm00001ca003498
GRMZM2G064302	Zm00001ca003499
GRMZM2G448656	Zm00001ca003500
GRMZM5G830776	Zm00001ca003501
GRMZM2G107609	Zm00001ca003502
GRMZM2G107665	Zm00001ca003503
GRMZM2G398341	Zm00001ca003504
GRMZM2G097313	Zm00001ca003505
GRMZM2G507478	Zm00001ca003506
GRMZM2G092568	Zm00001ca003507
GRMZM2G092296	Zm00001ca003508
GRMZM5G847362	Zm00001ca003509
GRMZM5G877500	Zm00001ca003510
GRMZM2G033192	Zm00001ca003511
GRMZM2G033208	Zm00001ca003512
GRMZM2G013038	Zm00001ca003513
GRMZM2G488168	Zm00001ca003514
GRMZM2G147319	Zm00001ca003515
GRMZM2G010740	Zm00001ca003516
GRMZM2G010768	Zm00001ca003517
GRMZM2G321076	Zm00001ca003518
GRMZM2G019356	Zm00001ca003519
GRMZM2G404599	Zm00001ca003520
GRMZM2G404603	Zm00001ca003521
GRMZM2G404608	Zm00001ca003522
GRMZM2G024993	Zm00001ca003523
GRMZM2G171395	Zm00001ca003524
GRMZM2G171376	Zm00001ca003525
GRMZM2G110158	Zm00001ca003526
GRMZM2G121333	Zm00001ca003527
GRMZM2G396553	Zm00001ca003528
GRMZM2G396562	Zm00001ca003529
GRMZM5G884319	Zm00001ca003530
GRMZM2G118355	Zm00001ca003531
GRMZM2G118690	Zm00001ca003532
GRMZM2G069911	Zm00001ca003533
GRMZM2G018006	Zm00001ca003534
GRMZM2G083012	Zm00001ca003535
GRMZM2G082855	Zm00001ca003536
GRMZM2G122135	Zm00001ca003537
GRMZM2G122061	Zm00001ca003538
GRMZM2G381782	Zm00001ca003539
GRMZM5G811192	Zm00001ca003540
AC202122.2_FG001	Zm00001ca003541
GRMZM2G021935	Zm00001ca003542
GRMZM2G069008	Zm00001ca003543
GRMZM2G370155	Zm00001ca003544
GRMZM5G823437	Zm00001ca003545
zma-MIR399j	Zm00001ca003546
zma-MIR399j	Zm00001ca003547
zma-MIR399j	Zm00001ca003548
GRMZM2G050333	Zm00001ca003549
GRMZM2G050410	Zm00001ca003550
GRMZM2G050418	Zm00001ca003551
GRMZM2G050329	Zm00001ca003552
GRMZM2G050166	Zm00001ca003553
GRMZM2G350319	Zm00001ca003554
GRMZM2G000909	Zm00001ca003555
GRMZM2G000932	Zm00001ca003556
GRMZM2G167966	Zm00001ca003557
GRMZM2G467992	Zm00001ca003558
GRMZM2G304528	Zm00001ca003559
GRMZM2G006973	Zm00001ca003560
GRMZM2G048557	Zm00001ca003561
GRMZM2G092797	Zm00001ca003562
GRMZM2G348921	Zm00001ca003563
GRMZM5G825935	Zm00001ca003564
GRMZM2G703807	Zm00001ca003565
GRMZM5G871262	Zm00001ca003566
AC234164.1_FG003	Zm00001ca003567
AC234164.1_FG004	Zm00001ca003568
GRMZM2G051247	Zm00001ca003569
GRMZM2G029863	Zm00001ca003570
GRMZM2G029798	Zm00001ca003571
GRMZM2G335052	Zm00001ca003572
AC193658.3_FG001	Zm00001ca003573
GRMZM2G071491	Zm00001ca003574
GRMZM2G071602	Zm00001ca003575
GRMZM5G825515	Zm00001ca003576
GRMZM5G882758	Zm00001ca003577
GRMZM5G809335	Zm00001ca003578
GRMZM2G352108	Zm00001ca003579
GRMZM2G046528	Zm00001ca003580
GRMZM2G046644	Zm00001ca003581
GRMZM2G108565	Zm00001ca003582
GRMZM2G083711	Zm00001ca003583
GRMZM2G383540	Zm00001ca003584
GRMZM2G010649	Zm00001ca003585
GRMZM5G869917	Zm00001ca003586
AC194878.3_FG001	Zm00001ca003587
AC194878.3_FG002	Zm00001ca003588
GRMZM2G325168	Zm00001ca003589
GRMZM2G119359	Zm00001ca003590
GRMZM2G119411	Zm00001ca003591
GRMZM2G303775	Zm00001ca003592
GRMZM2G042080	Zm00001ca003593
GRMZM2G042323	Zm00001ca003594
GRMZM2G041994	Zm00001ca003595
GRMZM2G344634	Zm00001ca003596
GRMZM2G059361	Zm00001ca003597
GRMZM2G083716	Zm00001ca003598
GRMZM2G389009	Zm00001ca003599
GRMZM2G154146	Zm00001ca003600
GRMZM2G703841	Zm00001ca003601
GRMZM2G062565	Zm00001ca003602
GRMZM2G090697	Zm00001ca003603
GRMZM2G093291	Zm00001ca003604
GRMZM2G093312	Zm00001ca003605
GRMZM2G393146	Zm00001ca003606
GRMZM2G152373	Zm00001ca003607
AC211740.3_FG005	Zm00001ca003608
GRMZM2G136838	Zm00001ca003609
GRMZM5G817759	Zm00001ca003610
GRMZM5G847530	Zm00001ca003611
GRMZM5G870176	Zm00001ca003612
GRMZM2G051949	Zm00001ca003613
GRMZM2G051890	Zm00001ca003614
GRMZM2G044824	Zm00001ca003615
GRMZM2G093195	Zm00001ca003616
GRMZM2G030216	Zm00001ca003617
GRMZM2G475293	Zm00001ca003618
GRMZM2G475360	Zm00001ca003619
GRMZM2G030252	Zm00001ca003620
GRMZM2G367650	Zm00001ca003621
GRMZM2G066775	Zm00001ca003622
GRMZM2G066862	Zm00001ca003623
GRMZM2G367638	Zm00001ca003624
GRMZM2G156218	Zm00001ca003625
GRMZM2G151993	Zm00001ca003626
GRMZM2G152025	Zm00001ca003627
GRMZM2G168143	Zm00001ca003628
GRMZM2G168214	Zm00001ca003629
GRMZM2G084739	Zm00001ca003630
GRMZM2G084944	Zm00001ca003631
GRMZM2G084968	Zm00001ca003632
GRMZM2G135052	Zm00001ca003633
GRMZM2G135044	Zm00001ca003634
GRMZM2G135039	Zm00001ca003635
GRMZM2G037591	Zm00001ca003636
GRMZM2G037624	Zm00001ca003637
GRMZM2G051785	Zm00001ca003638
GRMZM2G040995	Zm00001ca003639
GRMZM2G426678	Zm00001ca003640
GRMZM2G426688	Zm00001ca003641
GRMZM2G041765	Zm00001ca003642
GRMZM2G042084	Zm00001ca003643
GRMZM2G042127	Zm00001ca003644
GRMZM2G049693	Zm00001ca003645
GRMZM2G041668	Zm00001ca003646
GRMZM2G703868	Zm00001ca003647
GRMZM2G017054	Zm00001ca003648
GRMZM2G017060	Zm00001ca003649
GRMZM2G147041	Zm00001ca003650
GRMZM2G147112	Zm00001ca003651
GRMZM2G440219	Zm00001ca003652
GRMZM2G053588	Zm00001ca003653
GRMZM2G153792	Zm00001ca003654
GRMZM5G805350	Zm00001ca003655
AC206582.2_FG002	Zm00001ca003656
GRMZM2G052389	Zm00001ca003657
GRMZM2G153969	Zm00001ca003658
GRMZM2G154093	Zm00001ca003659
GRMZM2G154229	Zm00001ca003660
GRMZM2G459172	Zm00001ca003661
GRMZM2G163914	Zm00001ca003662
GRMZM2G459156	Zm00001ca003663
GRMZM2G163877	Zm00001ca003664
GRMZM2G037954	Zm00001ca003665
AC187901.4_FG004	Zm00001ca003666
GRMZM2G053210	Zm00001ca003667
GRMZM2G156121	Zm00001ca003668
GRMZM2G156129	Zm00001ca003669
GRMZM2G306859	Zm00001ca003670
GRMZM2G150872	Zm00001ca003671
GRMZM2G150884	Zm00001ca003672
GRMZM2G452016	Zm00001ca003673
GRMZM2G067408	Zm00001ca003674
GRMZM2G156372	Zm00001ca003675
GRMZM2G156376	Zm00001ca003676
AC205165.3_FG002	Zm00001ca003677
GRMZM2G472428	Zm00001ca003678
GRMZM2G167216	Zm00001ca003679
AC187789.3_FG001	Zm00001ca003680
GRMZM2G136155	Zm00001ca003681
GRMZM2G434839	Zm00001ca003682
GRMZM2G033175	Zm00001ca003683
AC212886.3_FG006	Zm00001ca003684
GRMZM2G176230	Zm00001ca003685
GRMZM2G703903	Zm00001ca003686
GRMZM2G060163	Zm00001ca003687
GRMZM5G843571	Zm00001ca003688
GRMZM2G058407	Zm00001ca003689
GRMZM2G004824	Zm00001ca003690
GRMZM2G402753	Zm00001ca003691
GRMZM2G096184	Zm00001ca003692
GRMZM2G308595	Zm00001ca003693
GRMZM2G168956	Zm00001ca003694
GRMZM2G583062	Zm00001ca003695
GRMZM2G107886	Zm00001ca003696
GRMZM2G458929	Zm00001ca003697
GRMZM2G035417	Zm00001ca003698
GRMZM2G338884	Zm00001ca003699
GRMZM2G361652	Zm00001ca003700
GRMZM2G361699	Zm00001ca003701
GRMZM2G361625	Zm00001ca003702
GRMZM2G148811	Zm00001ca003703
GRMZM2G148835	Zm00001ca003704
GRMZM2G074589	Zm00001ca003705
GRMZM2G018988	Zm00001ca003706
GRMZM2G019051	Zm00001ca003707
GRMZM5G866053	Zm00001ca003708
GRMZM2G140467	Zm00001ca003709
GRMZM2G105364	Zm00001ca003710
GRMZM5G834313	Zm00001ca003711
GRMZM2G058026	Zm00001ca003712
GRMZM2G057983	Zm00001ca003713
GRMZM2G057966	Zm00001ca003714
GRMZM2G308907	Zm00001ca003715
AC209651.2_FG001	Zm00001ca003716
GRMZM2G164248	Zm00001ca003717
GRMZM2G031479	Zm00001ca003718
GRMZM2G058675	Zm00001ca003719
GRMZM2G165086	Zm00001ca003720
AC225716.2_FG006	Zm00001ca003721
AC225716.2_FG003	Zm00001ca003722
GRMZM2G137690	Zm00001ca003723
GRMZM2G015645	Zm00001ca003724
GRMZM2G015426	Zm00001ca003725
AC216886.3_FG003	Zm00001ca003726
AC216886.3_FG002	Zm00001ca003727
AC216886.3_FG001	Zm00001ca003728
GRMZM2G065355	Zm00001ca003729
GRMZM2G457415	Zm00001ca003730
GRMZM2G144173	Zm00001ca003731
GRMZM5G800429	Zm00001ca003732
GRMZM2G703960	Zm00001ca003733
GRMZM2G145720	Zm00001ca003734
GRMZM2G060522	Zm00001ca003735
GRMZM2G438129	Zm00001ca003736
GRMZM2G107901	Zm00001ca003737
GRMZM2G405368	Zm00001ca003738
GRMZM2G065612	Zm00001ca003739
GRMZM2G150406	Zm00001ca003740
GRMZM5G823826	Zm00001ca003741
GRMZM2G455687	Zm00001ca003742
GRMZM2G121345	Zm00001ca003743
AC215875.3_FG001	Zm00001ca003744
GRMZM2G057602	Zm00001ca003745
AC203761.3_FG002	Zm00001ca003746
GRMZM5G883025	Zm00001ca003747
AC220924.2_FG004	Zm00001ca003748
GRMZM5G847520	Zm00001ca003749
GRMZM5G894110	Zm00001ca003750
GRMZM5G836332	Zm00001ca003751
GRMZM5G874091	Zm00001ca003752
GRMZM2G071613	Zm00001ca003753
GRMZM2G408376	Zm00001ca003754
GRMZM2G408359	Zm00001ca003755
GRMZM2G109399	Zm00001ca003756
GRMZM2G408308	Zm00001ca003757
GRMZM2G002617	Zm00001ca003758
GRMZM2G175243	Zm00001ca003759
AC196437.3_FG001	Zm00001ca003760
GRMZM2G144610	Zm00001ca003761
GRMZM5G844143	Zm00001ca003762
GRMZM5G866940	Zm00001ca003763
GRMZM5G888793	Zm00001ca003764
GRMZM2G005424	Zm00001ca003765
AC214790.3_FG001	Zm00001ca003766
GRMZM2G065848	Zm00001ca003767
GRMZM2G167576	Zm00001ca003768
GRMZM2G099967	Zm00001ca003769
GRMZM2G034318	Zm00001ca003770
GRMZM2G071750	Zm00001ca003771
AC204472.3_FG002	Zm00001ca003772
GRMZM2G010637	Zm00001ca003773
GRMZM2G099745	Zm00001ca003774
GRMZM2G027958	Zm00001ca003775
GRMZM2G129196	Zm00001ca003776
GRMZM2G008539	Zm00001ca003777
GRMZM2G118873	Zm00001ca003778
GRMZM2G056826	Zm00001ca003779
GRMZM2G483624	Zm00001ca003780
GRMZM2G483622	Zm00001ca003781
GRMZM2G022470	Zm00001ca003782
AC196171.6_FG002	Zm00001ca003783
GRMZM2G096909	Zm00001ca003784
GRMZM2G027665	Zm00001ca003785
AC188756.2_FG004	Zm00001ca003786
GRMZM2G332452	Zm00001ca003787
GRMZM5G883100	Zm00001ca003788
GRMZM2G020588	Zm00001ca003789
GRMZM2G013398	Zm00001ca003790
GRMZM5G871096	Zm00001ca003791
GRMZM5G823111	Zm00001ca003792
GRMZM2G076303	Zm00001ca003793
AC194031.3_FG002	Zm00001ca003794
GRMZM2G073123	Zm00001ca003795
AC193592.3_FG001	Zm00001ca003796
GRMZM2G440688	Zm00001ca003797
GRMZM2G465868	Zm00001ca003798
GRMZM2G059169	Zm00001ca003799
GRMZM2G133050	Zm00001ca003800
GRMZM2G313327	Zm00001ca003801
GRMZM2G033029	Zm00001ca003802
GRMZM2G111920	Zm00001ca003803
GRMZM2G019859	Zm00001ca003804
GRMZM5G815338	Zm00001ca003805
GRMZM2G538535	Zm00001ca003806
GRMZM5G803381	Zm00001ca003807
GRMZM2G429442	Zm00001ca003808
GRMZM2G405387	Zm00001ca003809
GRMZM2G400694	Zm00001ca003810
GRMZM2G400720	Zm00001ca003811
GRMZM2G400725	Zm00001ca003812
GRMZM5G868431	Zm00001ca003813
GRMZM2G089506	Zm00001ca003814
GRMZM5G849243	Zm00001ca003815
GRMZM2G070603	Zm00001ca003816
GRMZM2G370928	Zm00001ca003817
GRMZM2G330581	Zm00001ca003818
GRMZM2G033685	Zm00001ca003819
GRMZM2G168099	Zm00001ca003820
AC199543.4_FG004	Zm00001ca003821
GRMZM2G704100	Zm00001ca003822
GRMZM2G439459	Zm00001ca003823
GRMZM2G340619	Zm00001ca003824
GRMZM2G509386	Zm00001ca003825
GRMZM2G420619	Zm00001ca003826
AC210595.3_FG004	Zm00001ca003827
GRMZM2G121418	Zm00001ca003828
GRMZM2G121308	Zm00001ca003829
GRMZM2G099740	Zm00001ca003830
GRMZM2G358991	Zm00001ca003831
AC206169.3_FG002	Zm00001ca003832
GRMZM2G163178	Zm00001ca003833
GRMZM2G465169	Zm00001ca003834
AC187809.3_FG005	Zm00001ca003835
GRMZM2G047105	Zm00001ca003836
GRMZM2G047178	Zm00001ca003837
GRMZM5G874430	Zm00001ca003838
GRMZM2G024221	Zm00001ca003839
GRMZM2G352607	Zm00001ca003840
GRMZM2G093111	Zm00001ca003841
GRMZM2G110993	Zm00001ca003842
GRMZM2G146308	Zm00001ca003843
AC213612.3_FG002	Zm00001ca003844
GRMZM2G704151	Zm00001ca003845
AC213612.3_FG001	Zm00001ca003846
GRMZM2G066565	Zm00001ca003847
AC213651.3_FG005	Zm00001ca003848
GRMZM2G054133	Zm00001ca003849
GRMZM2G118019	Zm00001ca003850
GRMZM2G420988	Zm00001ca003851
GRMZM2G092379	Zm00001ca003852
GRMZM2G395842	Zm00001ca003853
GRMZM2G476848	Zm00001ca003854
GRMZM2G588623	Zm00001ca003855
GRMZM2G074085	Zm00001ca003856
GRMZM2G374336	Zm00001ca003857
GRMZM2G526748	Zm00001ca003858
GRMZM5G849527	Zm00001ca003859
GRMZM5G864059	Zm00001ca003860
GRMZM2G082962	Zm00001ca003861
GRMZM2G382673	Zm00001ca003862
GRMZM2G057301	Zm00001ca003863
AC217976.3_FG005	Zm00001ca003864
GRMZM2G158595	Zm00001ca003865
GRMZM2G158586	Zm00001ca003866
GRMZM2G446666	Zm00001ca003867
GRMZM2G446648	Zm00001ca003868
GRMZM2G118702	Zm00001ca003869
GRMZM2G105173	Zm00001ca003870
GRMZM2G117166	Zm00001ca003871
GRMZM2G363183	Zm00001ca003872
GRMZM2G363186	Zm00001ca003873
AC205712.3_FG003	Zm00001ca003874
GRMZM2G177084	Zm00001ca003875
GRMZM2G177132	Zm00001ca003876
GRMZM2G475673	Zm00001ca003877
GRMZM2G151414	Zm00001ca003878
GRMZM2G369481	Zm00001ca003879
GRMZM2G369469	Zm00001ca003880
GRMZM2G314125	Zm00001ca003881
GRMZM2G314094	Zm00001ca003882
GRMZM2G085932	Zm00001ca003883
GRMZM2G050641	Zm00001ca003884
GRMZM2G024005	Zm00001ca003885
GRMZM2G376930	Zm00001ca003886
GRMZM5G820617	Zm00001ca003887
AC209697.3_FG005	Zm00001ca003888
GRMZM2G113480	Zm00001ca003889
GRMZM2G139406	Zm00001ca003890
GRMZM2G052373	Zm00001ca003891
GRMZM2G153252	Zm00001ca003892
GRMZM2G115329	Zm00001ca003893
GRMZM2G172152	Zm00001ca003894
GRMZM2G134382	Zm00001ca003895
GRMZM2G062618	Zm00001ca003896
GRMZM5G857005	Zm00001ca003897
GRMZM2G166459	Zm00001ca003898
GRMZM2G464263	Zm00001ca003899
GRMZM2G123604	Zm00001ca003900
GRMZM2G113532	Zm00001ca003901
GRMZM5G865163	Zm00001ca003902
GRMZM5G871621	Zm00001ca003903
GRMZM2G132847	Zm00001ca003904
GRMZM2G131482	Zm00001ca003905
AC203423.3_FG009	Zm00001ca003906
GRMZM2G027860	Zm00001ca003907
GRMZM2G027847	Zm00001ca003908
GRMZM2G324780	Zm00001ca003909
GRMZM2G324703	Zm00001ca003910
GRMZM2G704171	Zm00001ca003911
GRMZM2G351786	Zm00001ca003912
GRMZM2G086641	Zm00001ca003913
GRMZM2G049811	Zm00001ca003914
GRMZM2G351074	Zm00001ca003915
GRMZM2G047104	Zm00001ca003916
GRMZM2G704175	Zm00001ca003917
GRMZM2G412986	Zm00001ca003918
GRMZM2G398628	Zm00001ca003919
GRMZM2G435380	Zm00001ca003920
GRMZM2G099648	Zm00001ca003921
GRMZM2G437487	Zm00001ca003922
GRMZM2G040605	Zm00001ca003923
GRMZM2G319760	Zm00001ca003924
GRMZM2G408256	Zm00001ca003925
GRMZM5G890783	Zm00001ca003926
GRMZM2G457347	Zm00001ca003927
GRMZM2G360567	Zm00001ca003928
GRMZM2G001454	Zm00001ca003929
GRMZM2G129947	Zm00001ca003930
GRMZM2G410152	Zm00001ca003931
GRMZM5G826778	Zm00001ca003932
AC197267.3_FG001	Zm00001ca003933
GRMZM2G100103	Zm00001ca003934
GRMZM2G354610	Zm00001ca003935
GRMZM6G474234	Zm00001ca003936
GRMZM2G061764	Zm00001ca003937
GRMZM2G143473	Zm00001ca003938
GRMZM2G528479	Zm00001ca003939
GRMZM2G047956	Zm00001ca003940
AC194045.3_FG001	Zm00001ca003941
GRMZM2G097983	Zm00001ca003942
GRMZM5G816208	Zm00001ca003943
GRMZM2G077844	Zm00001ca003944
GRMZM5G802679	Zm00001ca003945
GRMZM5G850904	Zm00001ca003946
GRMZM2G162677	Zm00001ca003947
GRMZM2G162675	Zm00001ca003948
AC215607.3_FG004	Zm00001ca003949
GRMZM2G163576	Zm00001ca003950
GRMZM2G118507	Zm00001ca003951
GRMZM2G310381	Zm00001ca003952
GRMZM2G105941	Zm00001ca003953
GRMZM2G533389	Zm00001ca003954
GRMZM2G057743	Zm00001ca003955
GRMZM5G856741	Zm00001ca003956
GRMZM2G110862	Zm00001ca003957
GRMZM2G148060	Zm00001ca003958
GRMZM2G704181	Zm00001ca003959
GRMZM2G115721	Zm00001ca003960
GRMZM5G854666	Zm00001ca003961
GRMZM2G065694	Zm00001ca003962
GRMZM2G033566	Zm00001ca003963
GRMZM2G126900	Zm00001ca003964
GRMZM2G171031	Zm00001ca003965
GRMZM2G014329	Zm00001ca003966
GRMZM2G057051	Zm00001ca003967
GRMZM2G126204	Zm00001ca003968
GRMZM2G315893	Zm00001ca003969
GRMZM5G837743	Zm00001ca003970
GRMZM2G464572	Zm00001ca003971
GRMZM2G021617	Zm00001ca003972
GRMZM2G324676	Zm00001ca003973
GRMZM2G704190	Zm00001ca003974
GRMZM2G704192	Zm00001ca003975
GRMZM2G113203	Zm00001ca003976
GRMZM2G145446	Zm00001ca003977
GRMZM2G357036	Zm00001ca003978
GRMZM2G076272	Zm00001ca003979
GRMZM2G086069	Zm00001ca003980
GRMZM2G005456	Zm00001ca003981
GRMZM2G136231	Zm00001ca003982
GRMZM2G467159	Zm00001ca003983
GRMZM2G091635	Zm00001ca003984
GRMZM2G165418	Zm00001ca003985
GRMZM2G704199	Zm00001ca003986
GRMZM2G131356	Zm00001ca003987
GRMZM5G866457	Zm00001ca003988
GRMZM2G110865	Zm00001ca003989
GRMZM2G366313	Zm00001ca003990
GRMZM5G846702	Zm00001ca003991
GRMZM5G859661	Zm00001ca003992
GRMZM2G065915	Zm00001ca003993
GRMZM5G801993	Zm00001ca003994
GRMZM2G066111	Zm00001ca003995
GRMZM2G376416	Zm00001ca003996
AC204377.3_FG001	Zm00001ca003997
GRMZM2G018612	Zm00001ca003998
GRMZM5G818105	Zm00001ca003999
GRMZM2G005664	Zm00001ca004000
GRMZM2G173090	Zm00001ca004001
GRMZM5G826830	Zm00001ca004002
GRMZM2G115698	Zm00001ca004003
AC209811.3_FG001	Zm00001ca004004
GRMZM2G118599	Zm00001ca004005
GRMZM2G135236	Zm00001ca004006
GRMZM2G393988	Zm00001ca004007
AC225993.1_FG004	Zm00001ca004008
GRMZM2G439337	Zm00001ca004009
GRMZM2G104481	Zm00001ca004010
GRMZM2G476230	Zm00001ca004011
GRMZM2G034015	Zm00001ca004012
GRMZM2G316264	Zm00001ca004013
GRMZM2G080689	Zm00001ca004014
GRMZM2G380247	Zm00001ca004015
AC188744.3_FG009	Zm00001ca004016
GRMZM2G471357	Zm00001ca004017
GRMZM2G167941	Zm00001ca004018
GRMZM2G570989	Zm00001ca004019
GRMZM2G122290	Zm00001ca004020
GRMZM2G421866	Zm00001ca004021
GRMZM2G124872	Zm00001ca004022
GRMZM2G046316	Zm00001ca004023
GRMZM5G832125	Zm00001ca004024
GRMZM2G458118	Zm00001ca004025
GRMZM2G395458	Zm00001ca004026
GRMZM2G333083	Zm00001ca004027
GRMZM2G466517	Zm00001ca004028
GRMZM2G466519	Zm00001ca004029
GRMZM2G083841	Zm00001ca004030
GRMZM5G849889	Zm00001ca004031
GRMZM2G324297	Zm00001ca004032
GRMZM5G814159	Zm00001ca004033
GRMZM2G704212	Zm00001ca004034
GRMZM2G074211	Zm00001ca004035
AC190565.2_FG003	Zm00001ca004036
GRMZM2G025026	Zm00001ca004037
GRMZM2G127266	Zm00001ca004038
GRMZM2G044246	Zm00001ca004039
GRMZM2G087350	Zm00001ca004040
GRMZM2G102322	Zm00001ca004041
GRMZM2G401997	Zm00001ca004042
GRMZM2G035285	Zm00001ca004043
GRMZM2G121143	Zm00001ca004044
GRMZM5G812126	Zm00001ca004045
GRMZM2G021879	Zm00001ca004046
AC212187.4_FG001	Zm00001ca004047
GRMZM2G480106	Zm00001ca004048
GRMZM2G590450	Zm00001ca004049
GRMZM2G040236	Zm00001ca004050
GRMZM2G132751	Zm00001ca004051
GRMZM2G431691	Zm00001ca004052
GRMZM2G023811	Zm00001ca004053
AC198414.2_FG001	Zm00001ca004054
GRMZM2G469898	Zm00001ca004055
GRMZM2G072909	Zm00001ca004056
GRMZM2G148400	Zm00001ca004057
GRMZM5G848365	Zm00001ca004058
GRMZM2G138370	Zm00001ca004059
GRMZM2G548261	Zm00001ca004060
GRMZM2G392037	Zm00001ca004061
GRMZM2G104074	Zm00001ca004062
GRMZM2G104092	Zm00001ca004063
GRMZM2G155675	Zm00001ca004064
GRMZM2G134049	Zm00001ca004065
GRMZM2G095643	Zm00001ca004066
GRMZM2G056078	Zm00001ca004067
GRMZM2G113883	Zm00001ca004068
GRMZM5G840885	Zm00001ca004069
GRMZM2G343048	Zm00001ca004070
GRMZM2G169301	Zm00001ca004071
GRMZM5G890473	Zm00001ca004072
GRMZM2G047867	Zm00001ca004073
GRMZM5G822232	Zm00001ca004074
GRMZM2G114756	Zm00001ca004075
GRMZM2G080546	Zm00001ca004076
GRMZM2G558324	Zm00001ca004077
GRMZM5G822028	Zm00001ca004078
GRMZM2G512616	Zm00001ca004079
GRMZM2G135746	Zm00001ca004080
GRMZM2G041732	Zm00001ca004081
GRMZM2G045109	Zm00001ca004082
GRMZM2G008316	Zm00001ca004083
GRMZM2G065939	Zm00001ca004084
GRMZM2G423025	Zm00001ca004085
GRMZM2G448895	Zm00001ca004086
GRMZM2G141605	Zm00001ca004087
GRMZM2G141618	Zm00001ca004088
GRMZM2G442129	Zm00001ca004089
GRMZM5G869587	Zm00001ca004090
GRMZM2G028745	Zm00001ca004091
GRMZM2G141667	Zm00001ca004092
GRMZM2G567739	Zm00001ca004093
GRMZM5G817301	Zm00001ca004094
GRMZM2G061283	Zm00001ca004095
GRMZM2G003488	Zm00001ca004096
GRMZM2G166889	Zm00001ca004097
GRMZM2G704220	Zm00001ca004098
GRMZM2G469839	Zm00001ca004099
AC216195.3_FG002	Zm00001ca004100
GRMZM2G040706	Zm00001ca004101
GRMZM2G040838	Zm00001ca004102
GRMZM2G704222	Zm00001ca004103
GRMZM2G093598	Zm00001ca004104
GRMZM2G093580	Zm00001ca004105
GRMZM2G034623	Zm00001ca004106
GRMZM2G099577	Zm00001ca004107
GRMZM5G856814	Zm00001ca004108
AC198122.3_FG002	Zm00001ca004109
